flight_number,pilot_name,departure_airport,departure_city,departure_country,arrival_airport,arrival_city,arrival_country,duration_hours,departure_time,date,isLate
QR1240,Yvon,Hamad International,Valencia,Philippines,Bole International,Pélla,Greece,4.1,8:59 PM,4/29/2025,true
TG7636,Cissiee,Suvarnabhumi,Polo,Indonesia,Changi,Wangliao,China,22.33,8:03 AM,9/17/2025,false
EK7011,Fara,Dubai International,Wañgan,Philippines,Hamad International,‘Ayn al Bayḑā,Syria,16.47,7:49 PM,10/20/2025,false
WN7674,Dougy,Los Angeles International,Am Djarass,Chad,San Francisco International,Reston,United States,10.2,1:31 AM,1/11/2026,true
AV8059,Matilda,El Dorado International,Pil’na,Russia,O'Hare International,Prince Albert,Canada,11.2,12:38 PM,11/3/2025,true
WN2783,Abram,Los Angeles International,Roma,Italy,San Francisco International,Akonolinga,Cameroon,5.51,5:29 PM,1/8/2026,true
LA1908,Christean,São Paulo/Guarulhos International,Lijia,China,Ministro Pistarini International,Mont-Saint-Hilaire,Canada,2.8,7:30 AM,9/4/2025,true
SQ8152,Milli,Changi,Mangqu,China,Beijing Capital International,Drahichyn,Belarus,4.17,3:21 PM,11/16/2025,true
DL1452,Normand,John F. Kennedy International,Jurva,Finland,Frankfurt Airport,Paniówki,Poland,8.65,11:05 PM,9/26/2025,true
SA8121,Ladonna,O.R. Tambo International,Morales,Guatemala,Charles de Gaulle,Panjiawan,China,6.44,2:01 PM,8/27/2025,false
AM5718,Demetris,Benito Juárez International,Laveiras,Portugal,O'Hare International,Naples,United States,17.94,1:40 PM,8/12/2025,false
BA8525,Wendy,Heathrow,Tongyang,China,Charles de Gaulle,Kuantan,Malaysia,14.75,1:49 AM,11/1/2025,false
SA3789,Bianka,O.R. Tambo International,Yudai,China,Charles de Gaulle,Queimados,Brazil,19.55,9:21 PM,9/10/2025,false
KE3093,Blake,Incheon International,Curug,Indonesia,O.R. Tambo International,Timrå,Sweden,5.99,1:58 AM,12/3/2025,false
BA7701,Reynold,Heathrow,Słupno,Poland,São Paulo/Guarulhos International,Saguing,Philippines,17.72,11:20 PM,1/3/2026,false
AM9301,Adriena,Benito Juárez International,Magalalag,Philippines,O'Hare International,Ragana,Latvia,20.25,9:21 PM,1/30/2026,false
AV9422,Harp,El Dorado International,Villa Ángela,Argentina,O'Hare International,Solec Nad Wisłą,Poland,5.54,8:09 PM,8/30/2025,false
KE2894,Otis,Incheon International,Shaoyang,China,Miami International,Samannūd,Egypt,20.44,1:41 AM,7/15/2025,false
AM6788,Jules,Benito Juárez International,Awsīm,Egypt,Hartsfield-Jackson Atlanta,Przywidz,Poland,23.38,6:45 PM,4/3/2026,false
SA8877,Owen,O.R. Tambo International,Cradock,South Africa,Bole International,Trai Ngau,Vietnam,11.88,3:13 PM,4/5/2026,false
NZ6359,Kaia,Auckland Airport,Uritsk,Russia,Sydney Airport,Asaita,Ethiopia,1.61,2:43 PM,12/21/2025,false
ET3547,Osborne,Bole International,Robertsport,Liberia,Amsterdam Airport Schiphol,Yidu,China,7.97,11:24 PM,6/18/2025,false
CX7920,Lianna,Hong Kong International,Chenqiao,China,Dubai International,Mubi,Nigeria,7.58,4:51 PM,11/13/2025,false
IB5906,Oralle,Adolfo Suárez Madrid–Barajas,Baltimore,United States,Charles de Gaulle,Espumoso,Brazil,18.01,10:22 PM,3/26/2026,false
QF6069,Annmarie,Sydney Airport,Fundong,Cameroon,Melbourne Airport,Hanjia,China,11.06,7:49 AM,7/7/2025,true
QF1365,Ulberto,Sydney Airport,Lijiaping,China,Melbourne Airport,Guanmiao,China,2.17,8:33 AM,10/8/2025,false
AM3602,Joan,Benito Juárez International,Pasirnangka,Indonesia,O'Hare International,Dopang,Indonesia,21.46,8:42 PM,11/8/2025,false
NZ1648,Ervin,Auckland Airport,Rambouillet,France,Sydney Airport,Kanália,Greece,18.06,10:15 AM,1/15/2026,false
TG2457,Dorolice,Suvarnabhumi,Agdzhabedy,Azerbaijan,Changi,Twardawa,Poland,14.85,9:36 AM,7/9/2025,false
AM3158,Filberte,Benito Juárez International,Karabas,Kazakhstan,O'Hare International,Hikone,Japan,23.22,1:00 PM,7/10/2025,false
SK6106,Clare,Copenhagen Airport,Razan,Iran,Charles de Gaulle,Kremenets’,Ukraine,6.51,3:07 AM,3/1/2026,true
BA9701,Dexter,Heathrow,Zuénoula,Ivory Coast,Charles de Gaulle,Xylókastro,Greece,4.12,8:24 AM,1/5/2026,true
SK4698,Loy,Copenhagen Airport,Hebian,China,Charles de Gaulle,Eskilstuna,Sweden,5.87,12:25 PM,5/30/2025,true
LA9571,Michaelina,São Paulo/Guarulhos International,Patulul,Guatemala,Ministro Pistarini International,Kouloúra,Greece,16.29,5:48 AM,7/28/2025,true
LH3991,Hetty,Frankfurt Airport,Dayuan,China,Charles de Gaulle,La Charité-sur-Loire,France,1.87,2:53 AM,12/20/2025,true
AC7951,Adrian,Toronto Pearson,Pedrulheira,Portugal,John F. Kennedy International,Labrador City,Canada,21.75,10:33 PM,8/29/2025,true
CX2504,Dara,Hong Kong International,Chipoka,Malawi,Kuala Lumpur International,Gamovo,Russia,9.97,1:06 AM,6/5/2025,false
QF3249,Wittie,Sydney Airport,Thames,New Zealand,Brisbane Airport,Tiksi,Russia,11.93,5:38 AM,9/26/2025,false
AZ1726,Alejandrina,Leonardo da Vinci International,Sundsvall,Sweden,Frankfurt Airport,Bungalaleng,Indonesia,11.44,3:07 PM,9/29/2025,false
CX1015,Trudi,Hong Kong International,Embu,Brazil,Melbourne Airport,Rokietnica,Poland,18.57,1:13 AM,1/16/2026,true
AM1964,Koressa,Benito Juárez International,Charlestown,Saint Kitts and Nevis,O'Hare International,Kuantan,Malaysia,9.7,8:24 AM,12/6/2025,true
LH1985,Thurstan,Frankfurt Airport,Mó,Portugal,Charles de Gaulle,Pacar,Indonesia,3.51,8:02 AM,9/21/2025,true
WN8342,Alene,Los Angeles International,Kedungdowo,Indonesia,Denver International,Sandnes,Norway,8.28,7:20 PM,7/26/2025,true
UA8777,Aggie,Los Angeles International,Sungaikakap,Indonesia,San Francisco International,Hongling,China,10.78,3:33 AM,9/26/2025,false
NH4813,Ray,Haneda,Chemin Grenier,Mauritius,Incheon International,Bang Bon,Thailand,8.07,1:11 PM,7/7/2025,true
TG8211,Freddy,Suvarnabhumi,Costa de Rios Frios,Portugal,Changi,Ishikawa,Japan,5.72,10:55 PM,2/25/2026,true
AF6240,Silvanus,Charles de Gaulle,Sishilichengzi,China,Frankfurt Airport,Gwaram,Nigeria,20.45,5:16 AM,1/11/2026,false
SA3328,Alina,O.R. Tambo International,Santa Rita,Venezuela,Charles de Gaulle,Kanália,Greece,5.22,7:45 PM,9/17/2025,false
AZ7862,Gwynne,Leonardo da Vinci International,Vysotsk,Russia,Charles de Gaulle,Wenchang,China,15.42,10:22 PM,1/26/2026,false
QR5659,Katherine,Hamad International,Nevers,France,Bole International,Al Mawşil al Jadīdah,Iraq,17.74,5:56 AM,10/28/2025,true
SQ4039,Caritta,Changi,Viljakkala,Finland,Beijing Capital International,Buhe,China,19.97,12:03 PM,3/18/2026,false
AM3262,Veradis,Benito Juárez International,Chinameca,El Salvador,Dallas/Fort Worth International,Dambořice,Czech Republic,23.16,5:30 PM,6/28/2025,false
DL5999,Duncan,John F. Kennedy International,Santa Ana,Philippines,Los Angeles International,Tenggun Dajah,Indonesia,10.65,9:22 AM,9/9/2025,false
AM9145,Sena,Benito Juárez International,Fernandópolis,Brazil,O'Hare International,Buenos Aires,Mexico,4.43,9:49 AM,7/18/2025,true
SK7263,Dalt,Copenhagen Airport,Thị Trấn Mộc Châu,Vietnam,Charles de Gaulle,General Enrique Mosconi,Argentina,17.02,12:01 PM,11/18/2025,false
UA5154,Darn,Los Angeles International,Motegi,Japan,Jorge Chávez International,Yumbe,Uganda,23.51,1:28 PM,10/27/2025,true
AI6362,Fergus,Indira Gandhi International,Hüremt,Mongolia,Chhatrapati Shivaji International,Oju,Nigeria,18.18,7:18 PM,7/24/2025,false
BA4260,Joelie,Heathrow,Brochów,Poland,Charles de Gaulle,Masaya,Nicaragua,3.23,12:48 PM,9/17/2025,true
AI8330,Ruben,Indira Gandhi International,Elói Mendes,Brazil,Chhatrapati Shivaji International,Jiangkou,China,7.64,2:58 AM,8/18/2025,false
AA2833,Nikolaus,John F. Kennedy International,Mae Sai,Thailand,Hartsfield-Jackson Atlanta,Alicia,Philippines,19.29,7:13 PM,9/20/2025,false
AC1854,Sydney,Toronto Pearson,Gamawa,Nigeria,John F. Kennedy International,Dióni,Greece,5.8,1:59 AM,9/24/2025,true
DL4436,Elane,John F. Kennedy International,Tanggeung Kolot,Indonesia,Bole International,Huanghu,China,3.25,2:34 AM,2/28/2026,true
NZ5604,Ravid,Auckland Airport,Capim Grosso,Brazil,São Paulo/Guarulhos International,Abaza,Russia,12.99,6:27 PM,9/16/2025,true
AI2219,Travus,Indira Gandhi International,Kuala Lumpur,Malaysia,Chhatrapati Shivaji International,Banyuurip,Indonesia,20.11,2:09 AM,7/16/2025,false
WN2436,Roldan,Los Angeles International,Tungi,Bangladesh,O'Hare International,Amarillo,United States,11.85,11:46 AM,1/11/2026,false
SA4784,Niels,O.R. Tambo International,Montecarlo,Argentina,Charles de Gaulle,Kototujuh,Indonesia,5.97,2:41 PM,5/2/2025,false
KE9114,Koressa,Incheon International,Cochadas,Portugal,Denver International,Cool űrhajó,Afghanistan,15.58,2:48 PM,3/5/2026,false
QR9373,Giovanni,Hamad International,Bayt Līd,Palestinian Territory,Bole International,Nalbandyan,Armenia,16.81,6:55 PM,3/17/2026,false
EK9627,Gerri,Dubai International,Daszewice,Poland,Hamad International,Lewograran,Indonesia,1.75,10:06 PM,6/7/2025,false
AV3778,Ulrika,El Dorado International,Jabinyānah,Tunisia,Indira Gandhi International,Motuo,China,8.47,2:25 PM,9/18/2025,true
IB2730,Graham,Adolfo Suárez Madrid–Barajas,Danderyd,Sweden,Hamad International,Lidköping,Sweden,3.08,1:30 AM,9/11/2025,true
LH8191,Malinda,Frankfurt Airport,San Roque,Argentina,Melbourne Airport,Panghadangan,Indonesia,18.09,1:14 AM,2/27/2026,false
AA2636,Llywellyn,John F. Kennedy International,Bobai,China,Hartsfield-Jackson Atlanta,Radziszów,Poland,16.98,6:01 AM,10/30/2025,true
QR8923,Ulises,Hamad International,Sanxiang,China,Bole International,Tirat Karmel,Israel,14.65,3:07 PM,11/1/2025,true
WN6141,Stearn,Los Angeles International,Piraju,Brazil,San Francisco International,Princeville,Canada,16.56,4:10 AM,12/28/2025,false
IB3912,Jackson,Adolfo Suárez Madrid–Barajas,Cambuí,Brazil,John F. Kennedy International,Moba,China,23.94,2:26 PM,11/18/2025,true
SQ3572,Gayler,Changi,Letlhakeng,Botswana,Beijing Capital International,Kanchanaburi,Thailand,7.83,2:37 PM,1/8/2026,false
TG5279,Bonni,Suvarnabhumi,Hantsport,Canada,Changi,Fengyuan,China,9.11,10:05 PM,4/12/2026,false
QR5924,Jordanna,Hamad International,Corona,United States,Bole International,Yermolayevo,Russia,13.7,11:00 AM,12/15/2025,true
AM6524,Britney,Benito Juárez International,Zwierzyniec,Poland,O'Hare International,Huangyang,China,20.67,8:17 PM,2/11/2026,false
AI2096,Constancia,Indira Gandhi International,Jaen,Spain,Chhatrapati Shivaji International,Uzunovo,Russia,14.04,8:20 AM,10/9/2025,true
AF2705,Nichole,Charles de Gaulle,Álli Meriá,Greece,Frankfurt Airport,Wuhu,China,8.61,12:24 AM,1/5/2026,true
QR5172,Sallie,Hamad International,Manoel Urbano,Brazil,Bole International,Poitiers,France,7.26,3:22 PM,1/29/2026,false
LH1504,Shae,Frankfurt Airport,Wairinding,Indonesia,Charles de Gaulle,Bhimbar,Pakistan,19.04,12:21 AM,8/25/2025,true
AF3520,Alexio,Charles de Gaulle,Soba,Nigeria,Frankfurt Airport,Santa Catalina,Philippines,2.88,4:21 PM,12/27/2025,true
AM3135,Arlee,Benito Juárez International,Acarí,Peru,O'Hare International,Grand Rapids,United States,17.87,6:50 AM,10/27/2025,true
IB9186,Orazio,Adolfo Suárez Madrid–Barajas,Archis,Armenia,Cape Town International,Usagara,Tanzania,5.56,6:04 AM,3/10/2026,true
AA6703,Jacintha,John F. Kennedy International,Petite Anse,Haiti,Hartsfield-Jackson Atlanta,Prakhon Chai,Thailand,1.73,4:15 PM,8/23/2025,true
QF8392,Eloisa,Sydney Airport,Azun Atme,Palestinian Territory,Jomo Kenyatta International,Wang Saphung,Thailand,22.93,7:15 PM,7/13/2025,true
SK3030,Seth,Copenhagen Airport,Otrokovice,Czech Republic,Charles de Gaulle,Neftçala,Azerbaijan,21.72,11:21 AM,9/4/2025,false
ET1953,Orville,Bole International,Paço,Portugal,Hamad International,Aldeia da Mata,Portugal,11.47,5:12 AM,3/3/2026,true
TG6378,Hertha,Suvarnabhumi,Chulakivka,Ukraine,Haneda,Mamasa,Indonesia,8.04,10:20 AM,4/6/2026,true
SA9741,Hilliard,O.R. Tambo International,Cola,China,Charles de Gaulle,San Jose,Philippines,5.23,9:21 PM,12/2/2025,false
IB7229,Moore,Adolfo Suárez Madrid–Barajas,Frankfort,United States,Frankfurt Airport,Lupon,Philippines,20.12,6:19 AM,10/8/2025,false
AA6712,Eldridge,John F. Kennedy International,Okocim,Poland,Hartsfield-Jackson Atlanta,Jianggang,China,13.86,5:00 AM,4/2/2026,false
ET8030,Keane,Bole International,Vilarinho,Portugal,Hamad International,Ipoh,Malaysia,18.02,11:42 PM,10/22/2025,true
KL3341,Karly,Amsterdam Airport Schiphol,Chongxian,China,Adolfo Suárez Madrid–Barajas,Tyoply Stan,Russia,15.25,7:39 PM,10/30/2025,true
QR6265,Brandyn,Hamad International,Qaryūt,Palestinian Territory,Leonardo da Vinci International,Osek nad Bečvou,Czech Republic,3.75,3:43 PM,4/17/2026,false
AF6719,Nessie,Charles de Gaulle,Fulin,China,Frankfurt Airport,Curahkalak Tengah,Indonesia,7.4,10:47 AM,5/17/2025,false
LH1604,Adam,Frankfurt Airport,Sevilla,Spain,Charles de Gaulle,Juuka,Finland,11.34,5:28 AM,2/26/2026,true
ET1495,Ambrose,Bole International,Foros de Salvaterra,Portugal,Frankfurt Airport,Huertas,Peru,3.27,12:38 AM,8/29/2025,true
UA3441,Sophronia,Los Angeles International,Jugantang,Indonesia,San Francisco International,Vannes,France,17.77,5:35 AM,1/4/2026,false
BA7976,Berty,Heathrow,Maniowy,Poland,Adolfo Suárez Madrid–Barajas,Mutatá,Colombia,4.19,6:26 AM,8/9/2025,true
AC6671,Marie-ann,Toronto Pearson,Wonodadi,Indonesia,John F. Kennedy International,Beicheng,China,14.75,5:10 PM,7/10/2025,false
DL4362,Monika,John F. Kennedy International,Carodok,Indonesia,Hartsfield-Jackson Atlanta,San Gabriel,Ecuador,19.51,7:05 AM,10/30/2025,true
SQ5198,Thaine,Changi,Pámfylla,Greece,Beijing Capital International,Zouiat ech Cheïkh,Morocco,13.81,3:55 AM,8/21/2025,false
QR9195,Pail,Hamad International,Charqueadas,Brazil,Charles de Gaulle,Zamoskvorech’ye,Russia,3.39,8:06 AM,1/18/2026,false
SK9921,Karylin,Copenhagen Airport,Monte da Pedra,Portugal,Charles de Gaulle,Lérida,Colombia,18.36,6:45 PM,4/24/2026,true
WN9434,Sunny,Los Angeles International,Kalandagan,Philippines,San Francisco International,Augusto Corrêa,Brazil,17.93,10:33 PM,8/23/2025,true
AZ9387,Van,Leonardo da Vinci International,Ipoh,Malaysia,Charles de Gaulle,Cork,Ireland,5.96,6:40 AM,9/8/2025,true
BA7761,Xenia,Heathrow,Tomelilla,Sweden,Amsterdam Airport Schiphol,Bolou,Indonesia,3.78,8:13 PM,12/28/2025,true
AF5997,Rakel,Charles de Gaulle,Drochia,Moldova,Frankfurt Airport,Nakhon Pathom,Thailand,17.87,11:21 PM,8/7/2025,false
AZ1212,Graehme,Leonardo da Vinci International,Eira da Pedra,Portugal,Charles de Gaulle,Del Valle,Mexico,14.26,11:07 PM,7/11/2025,true
IB9380,Ashla,Adolfo Suárez Madrid–Barajas,Patenongan,Indonesia,Charles de Gaulle,Mococa,Brazil,9.88,7:02 PM,3/27/2026,true
LH9617,Zonda,Frankfurt Airport,Pau,France,Amsterdam Airport Schiphol,Pizhma,Russia,12.53,7:46 AM,7/31/2025,true
TG1140,Renaud,Suvarnabhumi,Haveliān,Pakistan,Toronto Pearson,Vostryakovo,Russia,17.78,1:50 AM,5/11/2025,true
SK1308,Timothee,Copenhagen Airport,Ariz,Portugal,Charles de Gaulle,Firavitoba,Colombia,6.17,7:11 PM,1/30/2026,true
LA7781,Lindsey,São Paulo/Guarulhos International,Ebak,Indonesia,Ministro Pistarini International,San Rafael Petzal,Guatemala,13.1,11:56 AM,1/4/2026,false
SQ4857,Helaina,Changi,La Luz,Venezuela,Vienna International,Paris La Défense,France,12.22,5:05 PM,12/16/2025,true
SK2122,Theodore,Copenhagen Airport,Flin Flon,Canada,Charles de Gaulle,Sidorejo,Indonesia,1.36,2:26 AM,11/15/2025,true
EK1275,Alister,Dubai International,Hernani,Philippines,Hamad International,Imeni Babushkina,Russia,15.65,2:00 AM,3/29/2026,true
IB4981,Lorraine,Adolfo Suárez Madrid–Barajas,Арачиново,Macedonia,Ministro Pistarini International,Takum,Nigeria,13.9,1:43 AM,6/10/2025,true
LA3834,Beilul,São Paulo/Guarulhos International,Vale,Portugal,Ministro Pistarini International,Sępopol,Poland,11.84,4:48 PM,6/27/2025,false
QF6834,Anselma,Sydney Airport,Athi River,Kenya,Hong Kong International,Longsha,China,6.48,4:39 AM,5/2/2025,true
AM8507,Lin,Benito Juárez International,Ban Phai,Thailand,O'Hare International,Ganchazi,China,22.27,12:05 AM,7/8/2025,true
AV4715,Eugenia,El Dorado International,Toulouse,France,O'Hare International,Besisahar,Nepal,11.12,9:48 AM,7/11/2025,false
WN8288,Sybyl,Los Angeles International,Voyutychi,Ukraine,Vancouver International,Bulqizë,Albania,3.75,4:02 AM,11/23/2025,false
AA8058,Cecilla,John F. Kennedy International,Arinos,Brazil,Hartsfield-Jackson Atlanta,Jiaoxie,China,3.88,10:43 PM,11/12/2025,false
AM9841,Terencio,Benito Juárez International,Craigavon,United Kingdom,O'Hare International,São Miguel dos Campos,Brazil,18.83,7:05 PM,4/11/2026,false
AC9505,Hayward,Toronto Pearson,Datong,China,John F. Kennedy International,Berëzovyy,Russia,2.13,5:15 PM,11/29/2025,true
AM3158,Allene,Benito Juárez International,Huajialing,China,O'Hare International,Los Angeles,United States,13.5,7:01 PM,2/7/2026,false
QR7315,Fran,Hamad International,Funes,Colombia,Jomo Kenyatta International,Mortka,Russia,6.44,7:13 PM,4/2/2026,true
AV9889,Verna,El Dorado International,Daqiao,China,O'Hare International,Borlänge,Sweden,10.14,6:56 PM,7/19/2025,true
QF5679,Alethea,Sydney Airport,Santa Cruz del Norte,Cuba,Melbourne Airport,Wilmington,United States,12.92,12:26 AM,5/7/2025,true
SQ8042,Esdras,Changi,Shuiying,China,Beijing Capital International,Dolní Čermná,Czech Republic,17.79,12:06 PM,12/3/2025,false
AF9644,Aurthur,Charles de Gaulle,Lyon,France,Frankfurt Airport,Segezha,Russia,17.63,2:37 AM,5/10/2025,false
LA5144,Delmor,São Paulo/Guarulhos International,Catungawan Sur,Philippines,Jomo Kenyatta International,Göteborg,Sweden,5.78,1:43 PM,10/28/2025,true
QF6243,Stanwood,Sydney Airport,Karangpapak,Indonesia,Melbourne Airport,Quinta,Portugal,18.77,3:17 PM,10/9/2025,true
AV1063,Bartel,El Dorado International,Ardazubre,Portugal,Changi,Almafuerte,Argentina,17.87,4:36 AM,9/7/2025,false
AV2580,Gino,El Dorado International,Humpolec,Czech Republic,O'Hare International,Poja Nae,Indonesia,1.7,3:45 AM,6/24/2025,false
QF9447,Novelia,Sydney Airport,Stepnogorsk,Kazakhstan,Melbourne Airport,San Andrés,Panama,11.68,12:39 PM,4/30/2025,false
AF7900,Jaymee,Charles de Gaulle,Boje,Nigeria,Frankfurt Airport,Menghai,China,18.86,12:51 AM,6/6/2025,false
SA5308,Coralyn,O.R. Tambo International,Kedungdowo,Indonesia,Charles de Gaulle,Energeticheskiy,Kazakhstan,22.97,10:31 AM,11/18/2025,false
AZ7278,Abba,Leonardo da Vinci International,Georgetown,Gambia,Charles de Gaulle,Wiesbaden,Germany,18.39,2:08 AM,12/28/2025,true
AF2783,Rad,Charles de Gaulle,Ngulakan,Indonesia,Frankfurt Airport,Shanhou,China,1.44,3:20 PM,9/2/2025,false
QF5738,Aubrey,Sydney Airport,Shizuoka-shi,Japan,Melbourne Airport,Kraśnik,Poland,23.15,11:49 AM,3/15/2026,false
ET8753,Denney,Bole International,Kampunglistrik,Indonesia,Hamad International,Ostankinskiy,Russia,12.42,3:46 AM,6/8/2025,false
SQ7868,Joshia,Changi,Ampelgading,Indonesia,Beijing Capital International,Melbourne,United States,16.03,7:11 AM,11/13/2025,false
BA7041,Angelina,Heathrow,Suchy Dąb,Poland,Charles de Gaulle,Laguna Paiva,Argentina,13.09,9:40 AM,8/25/2025,true
DL5104,Windy,John F. Kennedy International,Ciklapa,Indonesia,Hartsfield-Jackson Atlanta,Fengyan,China,17.59,5:48 PM,11/5/2025,false
NZ8553,Anne,Auckland Airport,Pokrovskoye,Russia,Sydney Airport,Ipojuca,Brazil,20.85,10:11 AM,10/5/2025,true
NZ8955,Fabiano,Auckland Airport,Dukla,Poland,Suvarnabhumi,Suzhou,China,14.58,8:03 PM,1/22/2026,true
BA6203,Heath,Heathrow,Manlio Fabio Altamirano,Mexico,Charles de Gaulle,Leninskiy,Russia,10.28,9:32 AM,4/3/2026,false
QR4953,Laverne,Hamad International,Nueva Loja,Ecuador,Bole International,Retorta,Portugal,15.66,2:44 PM,9/21/2025,false
SK2434,Budd,Copenhagen Airport,Codoi,China,Charles de Gaulle,Bom Jesus da Lapa,Brazil,11.59,5:35 AM,2/11/2026,false
QR1777,Judye,Hamad International,Mujães,Portugal,Zurich Airport,Santa Lucía Cotzumalguapa,Guatemala,12.39,11:54 AM,4/22/2026,true
SA4414,Corrie,O.R. Tambo International,Newton,United Kingdom,Chhatrapati Shivaji International,Xietang,China,12.72,2:37 PM,1/20/2026,true
SK4478,Averil,Copenhagen Airport,Quimilí,Argentina,Heathrow,Stockholm,Sweden,12.91,8:26 AM,4/4/2026,true
AZ7021,Sherie,Leonardo da Vinci International,Aguitu,China,Charles de Gaulle,Pābna,Bangladesh,19.43,9:12 PM,4/3/2026,true
QR6792,Nannette,Hamad International,Mae Ramat,Thailand,Bole International,Obiliq,Kosovo,17.54,4:08 AM,2/1/2026,true
AV4742,Finlay,El Dorado International,Calasgasan,Philippines,Miami International,Miras,Albania,5.93,5:30 AM,2/2/2026,true
AM3367,Rochell,Benito Juárez International,Ferreira do Zêzere,Portugal,O'Hare International,Delingha,China,17.78,8:42 AM,2/21/2026,true
AI2550,Mendel,Indira Gandhi International,Za‘tarah,Palestinian Territory,Chhatrapati Shivaji International,Wengyang,China,7.75,9:09 AM,5/1/2025,true
AF6122,Skippie,Charles de Gaulle,Le Teil,France,Brisbane Airport,Kryry,Czech Republic,1.34,3:34 PM,8/26/2025,false
CX9277,Brunhilde,Hong Kong International,Yangping,China,Charles de Gaulle,Veinticinco de Mayo,Argentina,22.51,10:13 AM,3/14/2026,true
WN1940,Desmund,Los Angeles International,Hengshan,China,O'Hare International,Macheng,China,19.47,11:15 AM,3/23/2026,false
LA1344,Edee,São Paulo/Guarulhos International,Pavlovka,Russia,Ministro Pistarini International,Zhaixi,China,23.82,8:36 PM,2/6/2026,true
WN2783,Cristin,Los Angeles International,Pangal Sur,Philippines,San Francisco International,Lunyuk Ode,Indonesia,23.77,9:45 AM,7/10/2025,false
BA9137,Heinrick,Heathrow,Duvergé,Dominican Republic,Munich Airport,Yeliguan,China,4.57,4:36 PM,11/23/2025,true
SA6231,Addie,O.R. Tambo International,Hoi,Indonesia,Charles de Gaulle,Boituva,Brazil,10.4,12:34 AM,10/20/2025,false
CX8353,Noami,Hong Kong International,St. Thomas,Canada,Changi,Aş Şalw,Yemen,11.85,1:26 PM,3/2/2026,false
EK2700,Wynny,Dubai International,Ngô Đồng,Vietnam,Hamad International,Qarchī Gak,Afghanistan,14.72,10:18 AM,11/4/2025,true
AF9216,Ab,Charles de Gaulle,Daweishan,China,Frankfurt Airport,Dadeldhurā,Nepal,8.66,10:01 PM,4/16/2026,false
LH4045,Armin,Frankfurt Airport,Tamansari,Indonesia,Charles de Gaulle,Malangabang,Philippines,23.2,12:14 AM,1/8/2026,true
CX9713,Roddy,Hong Kong International,Murmansk,Russia,Changi,Rokietnica,Poland,14.31,7:18 PM,9/7/2025,true
NH8398,Khalil,Haneda,Cedar Rapids,United States,Incheon International,Ćićevac,Serbia,16.72,8:14 AM,11/30/2025,false
WN8596,Jeremy,Los Angeles International,Uyovu,Tanzania,San Francisco International,Bidyā,Palestinian Territory,5.76,10:15 AM,1/13/2026,false
EK1809,Damian,Dubai International,Yanaul,Russia,Hamad International,Ruzayevka,Russia,1.52,7:41 PM,9/27/2025,true
AM4620,Vinnie,Benito Juárez International,Ronggo,Indonesia,O'Hare International,Poxi,China,20.13,3:10 PM,5/23/2025,true
AA2277,Gil,John F. Kennedy International,Abuochiche,Nigeria,Hartsfield-Jackson Atlanta,København,Denmark,6.02,11:39 AM,7/6/2025,false
AZ5490,Pall,Leonardo da Vinci International,Taiping,China,Charles de Gaulle,Philadelphia,United States,6.62,9:41 AM,6/1/2025,false
AA6628,Irving,John F. Kennedy International,Charlottenberg,Sweden,Hartsfield-Jackson Atlanta,Linköping,Sweden,5.95,2:58 PM,9/1/2025,false
NH2468,Britni,Haneda,Ţahţā,Egypt,Incheon International,Alcaldedíaz,Panama,20.89,10:43 PM,8/24/2025,false
QF1344,Alameda,Sydney Airport,Zouérat,Mauritania,Melbourne Airport,Daping,China,18.33,12:35 PM,7/12/2025,true
SQ1972,Leontine,Changi,Changuillo,Peru,Beijing Capital International,Bailu,China,8.73,11:26 PM,2/22/2026,false
KE5048,Lennie,Incheon International,Tovačov,Czech Republic,Haneda,Huangqiao,China,8.86,12:46 PM,11/6/2025,false
ET6816,Fax,Bole International,Baojiadian,China,Hamad International,Qili,China,15.47,3:52 PM,2/11/2026,true
CX3985,Kalina,Hong Kong International,Byerazino,Belarus,Frankfurt Airport,Niedrzwica Duża,Poland,15.52,1:30 AM,11/20/2025,true
LA5763,Wilt,São Paulo/Guarulhos International,Jingtan,China,Ministro Pistarini International,Gresik,Indonesia,11.33,6:04 PM,9/24/2025,false
EK9741,Louise,Dubai International,Podwilk,Poland,Hamad International,Shashi,China,14.92,5:56 PM,5/3/2025,true
AM3278,Dana,Benito Juárez International,Matsubase,Japan,O'Hare International,Erong,China,10.64,2:37 PM,6/21/2025,false
NH1283,Burke,Haneda,Zhuting,China,Incheon International,Ujung,Indonesia,7.54,8:03 AM,8/24/2025,true
LA5763,Korrie,São Paulo/Guarulhos International,Gedangan,Indonesia,Ministro Pistarini International,Jiangjing,China,10.47,7:35 AM,12/6/2025,true
KE4109,Nikos,Incheon International,Cosne-Cours-sur-Loire,France,Hong Kong International,Korenëvo,Russia,18.11,3:21 AM,8/5/2025,false
TG3656,Mireielle,Suvarnabhumi,Bohicon,Benin,Changi,Kuzhuping,China,23.57,6:31 AM,1/5/2026,true
SQ4591,Hazlett,Changi,Tallbīsah,Syria,Bole International,Wantan,China,13.31,4:26 PM,10/29/2025,false
AZ6288,Carlye,Leonardo da Vinci International,Dakoutun,China,Charles de Gaulle,Lezhë,Albania,1.91,4:26 PM,6/15/2025,true
